,id,image,title,price,bonuses,processor,camera,sim,matrix,resolution,acc,ram
827,32325,/upload/306567.webp,"5.3"" HGST 64GB",324146,3241,6x1.4,106,,,1600x1440,,
1142,32339,/upload/56662.svg,"6.2"" Marvell 240GB",25296,252,6x4.5,46,4,,1366x768,4556,11
1922,32373,/upload/676272.webp,"6.3"" Micron 96GB",99031,990,,124,4,,,5501,10
390,32419,/upload/963952.webp,"7.2"" Seagate 96GB",473148,4731,2x4.6,111,,IPS,,6050,10
1105,32504,/upload/252023.jpg,"5.0"" Toshiba 160GB",493547,4935,6x4.7,,2,,1280x1440,7916,
2233,32526,/upload/150005.jpg,"6.4"" iPhone 13 80GB",356032,3560,,34,,,1024x768,5252,
557,32577,/upload/596058.svg,"7.4"" Samsung S21 112GB",362792,3627,,22,2,AMOLED,,5334,
809,32587,/upload/493436.jpg,"6.2"" HGST 192GB",421869,4218,,69,2,AMOLED,1600x2160,5053,
1277,32600,/upload/60111.jpg,"5.9"" Alcatel 16GB",112185,1121,4x3.5,18,4,AMOLED,1600x1366,7657,
1893,32694,/upload/217102.jpg,"7.2"" Blackberry 256GB",11143,111,,63,3,AMOLED,,2166,
1086,32728,/upload/967868.webp,"5.8"" ZTE 48GB",204176,2041,,52,,,,3990,
926,32775,/upload/342263.svg,"5.3"" Sony 144GB",265565,2655,6x4.9,,,IPS,,,15
615,32788,/upload/654058.jpeg,"6.5"" Transcend 256GB",208317,2083,,,,OLED,1280x1200,6134,9
1575,32880,/upload/311972.jpg,"6.1"" Acer 192GB",212241,2122,6x5.0,,,OLED,2560x768,4514,5
1088,32887,/upload/355006.webp,"5.8"" MSI 160GB",384939,3849,4x4.0,110,,AMOLED,1920x1080,,7
2207,33052,/upload/860523.jpeg,"6.7"" NVIDIA 112GB",203824,2038,8x4.8,50,4,,,,5
1103,33058,/upload/750467.png,"7.0"" Samsung 160GB",336368,3363,4x1.1,,,OLED,,,4
225,33095,/upload/621642.webp,"6.5"" HTC 96GB",138038,1380,,43,,,1024x1440,,
2253,33109,/upload/574556.jpeg,"5.2"" Nokia 192GB",349053,3490,6x3.4,62,,,1600x768,,15
1613,33132,/upload/590821.png,"5.1"" Kingston 208GB",373511,3735,2x2.3,,3,,,5465,11
1989,33166,/upload/505105.jpeg,"7.4"" Seagate 48GB",372311,3723,,,1,OLED,,4636,8
1036,33260,/upload/619613.webp,"5.7"" Seagate 208GB",233937,2339,6x3.3,,,OLED,1920x1080,2402,12
1759,33286,/upload/223005.jpg,"5.9"" Toshiba 112GB",146120,1461,4x4.1,,3,AMOLED,1920x2160,,
2300,33361,/upload/60239.svg,"5.0"" Samsung S21 112GB",81531,815,8x3.4,,1,IPS,1280x2160,6917,
1339,33460,/upload/138150.svg,"5.0"" Micron 16GB",255864,2558,2x3.4,112,,IPS,1366x768,3799,
1288,33461,/upload/93074.png,"6.9"" Toshiba 96GB",426855,4268,,,4,IPS,,,9
2126,33480,/upload/911466.jpeg,"7.3"" Silicon Power 112GB",80327,803,,33,1,OLED,1366x2160,3138,2
1578,33507,/upload/556151.webp,"5.2"" ZTE 64GB",477647,4776,6x1.6,,3,IPS,,7520,
1633,33529,/upload/427238.jpg,"6.7"" LG 96GB",110633,1106,6x3.4,,2,IPS,1920x1366,5584,7
506,33538,/upload/268627.webp,"5.4"" LaCie 192GB",449069,4490,,,2,IPS,1366x1200,,
2033,33651,/upload/877286.webp,"7.2"" Plextor 64GB",21434,214,,,,OLED,,7981,11
680,33655,/upload/811822.jpg,"5.7"" Toshiba 240GB",101139,1011,6x1.4,,3,AMOLED,1920x1080,4627,14
596,33745,/upload/400452.png,"5.1"" Marvell 64GB",374405,3744,2x5.0,,3,,,,11
331,33768,/upload/234955.jpeg,"6.7"" AMD 176GB",25280,252,,,2,AMOLED,,6470,3
678,33795,/upload/951443.jpg,"6.4"" ASUS 32GB",97237,972,,54,,OLED,1024x1200,,13
270,33804,/upload/644058.webp,"5.1"" VIVO 48GB",153417,1534,4x1.8,,1,,,,2
2298,33911,/upload/574064.webp,"5.6"" Hewlett-Packard 240GB",224676,2246,,90,1,,2560x768,,
685,33990,/upload/119769.webp,"6.2"" Google Pixel 80GB",382617,3826,,57,3,,,,
723,34001,/upload/682595.webp,"5.1"" Toshiba 160GB",267344,2673,,119,,,,6769,7
65,34006,/upload/183943.png,"7.3"" ASUS 144GB",327983,3279,,,4,IPS,1600x1080,,13
191,34148,/upload/100643.svg,"7.1"" SanDisk 80GB",246809,2468,,20,,IPS,1600x1366,,
1079,34169,/upload/643983.svg,"6.6"" Google Pixel 64GB",372082,3720,6x4.3,,3,OLED,1024x768,7428,7
402,34205,/upload/229048.jpeg,"5.8"" iPhone 13 128GB",33685,336,4x4.1,21,,,1280x1366,,9
681,34219,/upload/8661.jpeg,"5.2"" Western Digital 128GB",10096,100,,61,,OLED,1366x1440,5241,16
334,34233,/upload/517359.jpg,"7.4"" Kingston 128GB",414819,4148,8x4.9,62,,,2560x1200,,11
704,34292,/upload/389453.svg,"5.9"" Dell 208GB",242705,2427,4x4.8,72,,,1920x1200,,10
646,34316,/upload/743855.png,"7.0"" Apple 256GB",255067,2550,6x2.8,24,,IPS,,6228,
1780,34346,/upload/305195.svg,"5.3"" Silicon Power 32GB",338067,3380,,120,1,,1600x1440,6106,16
1540,34521,/upload/48179.webp,"7.3"" AMD 16GB",455439,4554,,47,,,1280x1080,3131,
1423,34541,/upload/268285.webp,"6.0"" AMD 240GB",358815,3588,,,4,IPS,1366x1080,3034,7
1867,34640,/upload/814459.webp,"5.9"" Apple 160GB",454974,4549,,105,,,1280x768,,4
1881,34660,/upload/569225.jpg,"7.3"" NVIDIA 128GB",24157,241,6x4.9,36,4,,1024x768,4065,
1523,34672,/upload/360481.svg,"7.2"" NVIDIA 240GB",421607,4216,2x3.3,121,1,,1600x1440,5388,6
387,34682,/upload/52200.jpg,"5.7"" NVIDIA 192GB",90142,901,,,4,IPS,1366x768,6043,
1880,34703,/upload/522268.svg,"6.2"" Dell 32GB",10704,107,,,,AMOLED,1280x768,7428,
196,34725,/upload/538333.jpeg,"6.9"" OCZ 48GB",111962,1119,,107,4,AMOLED,,,3
1475,34737,/upload/310823.jpeg,"6.3"" iPhone 12 256GB",30725,307,,54,,OLED,1600x768,,
1869,34770,/upload/182150.jpg,"6.4"" Toshiba 208GB",272142,2721,,83,,,1600x1080,7577,2
122,34786,/upload/35549.jpg,"5.6"" Fujitsu 16GB",167991,1679,6x4.4,23,,OLED,1600x1200,,6
1470,34959,/upload/198887.svg,"6.0"" Hewlett-Packard 144GB",85961,859,2x5.0,,3,IPS,,5952,
692,34969,/upload/999778.png,"7.3"" Fujitsu 240GB",141324,1413,,24,1,IPS,1600x2160,2917,12
97,35028,/upload/611829.png,"5.6"" HGST 144GB",422082,4220,2x4.7,,,AMOLED,,7746,
38,35043,/upload/218443.jpg,"5.4"" Dell 160GB",416547,4165,8x2.5,,,,1280x1080,,4
1495,35063,/upload/247551.webp,"6.7"" Broadcom 32GB",267615,2676,,,,,,,6
18,35179,/upload/501496.svg,"5.0"" Microsoft 144GB",153571,1535,4x3.4,22,1,OLED,,,5
1373,35183,/upload/528234.png,"5.9"" ZTE 128GB",453157,4531,,,,AMOLED,1600x1080,4271,15
161,35193,/upload/713206.jpg,"5.1"" Huawei P 48GB",142774,1427,,,1,OLED,1600x2160,5640,
740,35256,/upload/825456.webp,"5.1"" SanDisk 192GB",459449,4594,8x3.0,,,OLED,1366x1366,,13
1305,35258,/upload/800683.jpeg,"5.6"" Western Digital 128GB",370954,3709,,32,4,AMOLED,,,
80,35368,/upload/425368.jpeg,"5.7"" ASUS 160GB",299730,2997,8x1.7,,,IPS,1920x1200,,
1291,35393,/upload/247404.svg,"5.9"" ARM 256GB",46637,466,8x4.2,109,2,OLED,2560x768,7383,3
2049,35417,/upload/898523.svg,"5.0"" Toshiba 192GB",449806,4498,8x1.5,,,OLED,1366x1440,,15
2280,35547,/upload/502680.webp,"6.6"" NVIDIA 32GB",245028,2450,,,,OLED,1366x2160,7515,2
581,35585,/upload/218620.svg,"7.4"" Toshiba 112GB",75822,758,,,2,AMOLED,1600x1200,,16
872,35597,/upload/640343.jpg,"5.2"" Xilinx 144GB",391697,3916,,106,2,,,3838,
297,35603,/upload/182461.svg,"7.4"" iPhone 12 96GB",368935,3689,4x1.5,38,2,AMOLED,1024x1440,5508,8
1815,35608,/upload/55467.webp,"6.7"" Corsair 224GB",311491,3114,4x4.9,,3,,,5125,5
1487,35609,/upload/555898.svg,"5.0"" Qualcomm 128GB",491614,4916,8x4.7,100,4,AMOLED,1366x768,6431,15
699,35676,/upload/686685.jpg,"6.3"" Qualcomm 160GB",388220,3882,8x3.0,39,4,AMOLED,,,15
485,35691,/upload/242262.webp,"5.7"" LG 144GB",228005,2280,6x5.0,,,,2560x1200,2578,
947,35695,/upload/964907.jpeg,"7.3"" Samsung S21 208GB",428034,4280,,,,OLED,1280x1440,3836,
164,35757,/upload/950592.png,"6.4"" ARM 16GB",59236,592,4x4.8,,4,,1920x1366,4200,7
1555,35783,/upload/100779.webp,"7.1"" ASUS 64GB",76131,761,,19,,,1366x2160,,4
405,35951,/upload/723151.png,"7.5"" Seagate 176GB",97772,977,,,,AMOLED,,6569,
778,35962,/upload/943335.png,"5.2"" Texas Instruments 176GB",212412,2124,8x1.7,,,,1024x1440,2271,14
1027,36012,/upload/869049.png,"6.8"" Samsung Note 80GB",448865,4488,6x2.6,,,IPS,1920x1440,,10
47,36181,/upload/486970.jpg,"5.1"" Hewlett-Packard 208GB",233730,2337,4x3.9,90,3,IPS,,6417,2
438,36225,/upload/242579.png,"6.4"" Western Digital 256GB",47660,476,,33,,AMOLED,,3700,5
2304,36306,/upload/562424.webp,"7.1"" Transcend 208GB",448391,4483,,87,2,AMOLED,1280x1366,7454,
1166,36318,/upload/917204.jpeg,"6.1"" SanDisk 192GB",451540,4515,8x1.6,30,,,,2680,
531,36448,/upload/683632.jpg,"6.6"" VIVO 192GB",420184,4201,6x2.4,,2,,1600x768,7626,5
336,36459,/upload/689641.jpeg,"7.5"" SanDisk 208GB",122650,1226,4x4.5,,2,IPS,1600x1200,4216,2
475,36520,/upload/768580.jpg,"5.7"" iPhone 12 32GB",443128,4431,2x1.4,,3,,1366x1366,,
1243,36611,/upload/646707.jpeg,"5.2"" Asus 96GB",101442,1014,,,,AMOLED,,7570,7
1275,36618,/upload/831338.jpg,"6.4"" Toshiba 192GB",324798,3247,,,,AMOLED,1024x768,,
1497,36665,/upload/234610.webp,"6.7"" ASUS 192GB",472552,4725,6x4.5,,1,,,,6
1171,36763,/upload/439268.png,"7.1"" ADATA 16GB",376373,3763,4x2.7,,4,IPS,1024x1366,,
1832,36768,/upload/813513.jpeg,"6.6"" Alcatel 48GB",201881,2018,4x1.7,16,,,1280x1440,,
881,36811,/upload/104680.jpeg,"5.8"" iPhone 12 192GB",421885,4218,2x4.3,,,IPS,,6727,15
1959,36989,/upload/258483.jpeg,"5.7"" Asus 176GB",309722,3097,,105,4,AMOLED,1280x2160,2253,
1824,36996,/upload/288662.jpg,"5.4"" LaCie 192GB",19932,199,6x4.1,,,OLED,,4189,15
282,37034,/upload/466180.png,"7.5"" AMD 208GB",343001,3430,2x2.1,,,,,,
1858,37145,/upload/798261.png,"6.7"" LG 208GB",183333,1833,8x2.6,,2,,,,9
318,37155,/upload/827082.jpeg,"5.7"" Broadcom 32GB",166857,1668,,,4,,,6502,13
931,37205,/upload/764387.png,"6.8"" NVIDIA 192GB",450047,4500,8x1.2,,2,,1600x2160,,
2313,37224,/upload/930096.webp,"5.5"" Toshiba 48GB",248086,2480,,,,,,,9
1260,37246,/upload/345232.jpg,"5.7"" Kingston 160GB",155203,1552,,,,OLED,1600x1080,5854,9
2170,37310,/upload/375630.webp,"7.2"" Sony 80GB",410305,4103,,94,2,IPS,,,
58,37390,/upload/739313.svg,"5.7"" Corsair 240GB",107854,1078,4x3.3,26,4,,1280x768,3881,
200,37416,/upload/16747.svg,"7.5"" Acer 256GB",104637,1046,,28,4,IPS,1024x1440,,3
771,37441,/upload/697441.svg,"5.1"" Samsung Note 208GB",329593,3295,4x3.2,100,2,,,6672,5
9,37513,/upload/353228.jpeg,"5.1"" ADATA 64GB",126564,1265,4x3.5,,,,,,
734,37553,/upload/546838.webp,"6.2"" Samsung Note 32GB",416908,4169,,,1,,2560x1440,6895,
885,37582,/upload/667282.png,"6.5"" ARM 176GB",456071,4560,,98,1,OLED,2560x1080,,7
2132,37621,/upload/655074.webp,"6.4"" Hewlett-Packard 224GB",191879,1918,6x2.5,,4,AMOLED,,6053,13
636,37661,/upload/470461.svg,"5.5"" VIVO 96GB",144127,1441,4x1.3,,,,,4744,13
1849,37707,/upload/70991.webp,"5.6"" OPPO 32GB",107310,1073,6x4.5,,,AMOLED,2560x1366,,
2214,37724,/upload/698481.png,"7.1"" Micron 112GB",115621,1156,4x3.3,,,AMOLED,1600x1366,3899,
1900,37760,/upload/517158.png,"6.0"" HTC 80GB",282537,2825,8x2.7,22,2,IPS,2560x768,7003,2
962,37781,/upload/645778.svg,"6.7"" SanDisk 208GB",65275,652,2x2.6,35,4,IPS,,5131,11
1108,37783,/upload/996623.svg,"5.0"" Motorola 224GB",94645,946,6x1.9,20,2,,,,8
1174,37783,/upload/846919.png,"5.6"" Motorola 32GB",397262,3972,8x3.6,,4,OLED,,,7
1319,37805,/upload/671709.webp,"5.3"" Qualcomm 160GB",84270,842,6x3.6,,3,OLED,1024x1080,2601,7
381,37853,/upload/377415.png,"5.1"" Xilinx 64GB",261025,2610,,98,2,,1366x1200,3042,
1936,37865,/upload/458085.png,"6.2"" ZTE 96GB",227665,2276,,106,3,,,,15
491,37878,/upload/639675.png,"7.3"" Micron 32GB",481954,4819,2x4.7,19,2,,1280x768,,
317,37985,/upload/372454.jpeg,"5.0"" Plextor 240GB",289803,2898,,63,,IPS,,7142,
208,38036,/upload/395604.svg,"5.4"" LaCie 176GB",481570,4815,,88,1,,1920x1366,,9
2004,38070,/upload/435219.png,"7.3"" Micron 160GB",299647,2996,6x1.9,112,,AMOLED,,,2
1833,38086,/upload/343534.svg,"7.0"" LG 240GB",234494,2344,6x2.8,78,,IPS,,,3
2250,38113,/upload/780714.jpg,"5.6"" MSI 96GB",96235,962,4x3.2,38,1,,1280x1200,2303,
14,38193,/upload/522669.webp,"5.3"" ZTE 80GB",185539,1855,,,2,AMOLED,,3277,9
2285,38286,/upload/214868.png,"7.4"" Samsung Note 80GB",231209,2312,,,,,,4914,10
537,38316,/upload/420213.webp,"7.0"" Seagate 176GB",270752,2707,,,2,IPS,1600x1366,2613,15
429,38480,/upload/798598.png,"6.9"" Blackberry 64GB",228206,2282,8x3.0,21,4,,,2979,13
258,38519,/upload/240906.jpg,"7.0"" Transcend 256GB",180210,1802,,118,,,1920x1440,2670,8
725,38521,/upload/209061.jpg,"5.9"" VIVO 240GB",180177,1801,,,1,OLED,1600x768,4348,
2240,38566,/upload/427576.svg,"5.7"" Corsair 256GB",64814,648,,,,AMOLED,1024x1200,2632,13
1929,38652,/upload/376509.jpeg,"7.3"" Samsung Note 208GB",402831,4028,8x1.4,,4,,2560x1366,,15
2007,38714,/upload/938843.jpg,"5.9"" Xilinx 16GB",281488,2814,,120,,,,,10
327,38730,/upload/435028.jpg,"5.8"" Xiaomi Mi 256GB",94576,945,2x2.8,,1,AMOLED,,6419,15
1431,38747,/upload/958390.jpg,"6.5"" Samsung Note 96GB",421124,4211,,86,,,,7805,
233,38769,/upload/603030.svg,"5.9"" Plextor 192GB",322220,3222,8x1.6,25,4,IPS,1600x1080,5474,9
290,38842,/upload/904238.jpg,"7.4"" Transcend 176GB",255410,2554,8x1.9,,1,OLED,1920x768,7294,5
372,38855,/upload/65772.png,"5.9"" Kingston 64GB",108557,1085,,73,4,IPS,,,
1850,38872,/upload/680001.jpeg,"7.2"" Kingston 16GB",226557,2265,6x1.6,35,4,,1366x1366,5712,6
1863,38910,/upload/792232.png,"6.0"" Marvell 48GB",316185,3161,2x4.1,59,3,OLED,2560x1080,,4
1712,38939,/upload/538637.webp,"6.0"" NVIDIA 16GB",378763,3787,6x3.6,126,3,,,3242,
480,38954,/upload/226574.jpeg,"6.3"" Toshiba 80GB",433431,4334,8x3.5,104,,IPS,1920x1200,7381,13
348,38982,/upload/714851.png,"7.5"" Marvell 32GB",133891,1338,,,4,AMOLED,1920x1200,4140,
140,38999,/upload/652175.svg,"6.9"" Nokia 256GB",409895,4098,,,2,,1024x768,5850,
1262,39023,/upload/58875.png,"7.5"" Micron 240GB",284061,2840,2x3.3,17,4,AMOLED,,,11
1972,39066,/upload/749398.jpg,"7.5"" Toshiba 128GB",37155,371,,49,4,,2560x768,7507,13
440,39081,/upload/370105.png,"5.5"" Microsoft 16GB",219991,2199,,61,,AMOLED,,2615,4
479,39118,/upload/496334.webp,"5.6"" OPPO 96GB",477435,4774,8x1.6,46,,,,,
976,39149,/upload/993471.jpg,"5.7"" Apple 176GB",42164,421,4x1.4,48,4,OLED,,6747,13
1592,39206,/upload/349524.png,"6.4"" Acer 240GB",376449,3764,8x2.5,93,3,,2560x1366,3395,5
1876,39217,/upload/271813.jpeg,"7.0"" Microsoft 144GB",78509,785,2x1.2,,4,OLED,,7442,11
2022,39233,/upload/709204.svg,"5.0"" Xiaomi Mi 224GB",197709,1977,,,3,OLED,2560x768,,
2226,39245,/upload/862302.png,"6.3"" Seagate 112GB",240543,2405,,16,4,IPS,2560x1440,2435,
2291,39258,/upload/13502.jpg,"5.9"" ASUS 32GB",101579,1015,4x3.5,77,1,,1920x1200,4443,16
226,39267,/upload/315548.svg,"6.6"" Acer 16GB",433436,4334,,92,1,AMOLED,1024x1200,3308,
1474,39325,/upload/563614.jpg,"7.2"" Motorola 64GB",474385,4743,,,1,OLED,,7312,
672,39420,/upload/861680.png,"6.0"" LaCie 240GB",309970,3099,,99,,IPS,,7071,15
2151,39438,/upload/846089.svg,"7.1"" ZTE 32GB",273020,2730,,61,1,OLED,,2317,16
1997,39447,/upload/282141.webp,"5.1"" HGST 128GB",446190,4461,,46,,,1024x1440,6766,
1687,39457,/upload/699061.jpg,"5.5"" Xilinx 48GB",461686,4616,2x2.4,58,1,,1600x1440,3064,12
286,39510,/upload/798562.jpg,"7.2"" Dell 208GB",62397,623,,48,3,,,3823,
1256,39529,/upload/723932.jpeg,"5.9"" Alcatel 144GB",134304,1343,4x2.7,,3,,1024x1200,5156,15
1755,39542,/upload/167299.jpeg,"5.9"" Apple 112GB",473011,4730,4x2.1,,1,IPS,1280x1200,7844,
2000,39568,/upload/149921.jpg,"6.5"" ASUS 16GB",203399,2033,,63,,,1366x2160,,16
601,39609,/upload/883610.jpeg,"5.4"" iPhone 12 128GB",78472,784,6x4.8,58,,AMOLED,1600x1200,,
375,39620,/upload/814198.jpeg,"6.4"" SanDisk 208GB",27753,277,,62,3,,,,
2092,39626,/upload/478806.jpeg,"6.3"" iPhone X 32GB",118746,1187,6x1.3,123,,IPS,,,
911,39631,/upload/346943.webp,"6.5"" IBM 32GB",450761,4507,,,1,AMOLED,1366x1366,,
2059,39708,/upload/985502.webp,"6.0"" VIVO 112GB",439093,4390,6x2.6,,3,,2560x768,4248,
2273,39808,/upload/230409.jpeg,"6.7"" Toshiba 240GB",480779,4807,4x2.4,,2,IPS,,,5
2219,39856,/upload/357161.png,"6.6"" Texas Instruments 112GB",122553,1225,,,,AMOLED,1280x768,7192,
1413,39860,/upload/151378.svg,"5.4"" Fujitsu 64GB",178377,1783,8x4.2,27,1,IPS,1600x1200,,
1622,39917,/upload/726960.jpg,"6.0"" ZTE 48GB",170905,1709,8x4.0,28,2,AMOLED,,,14
1890,39920,/upload/261.jpg,"5.3"" Seagate 96GB",223421,2234,6x3.1,,,AMOLED,1920x1200,3431,14
461,39966,/upload/724041.png,"5.4"" Acer 208GB",396122,3961,8x3.9,108,,IPS,1024x1366,,6
711,39976,/upload/177808.jpg,"6.5"" Silicon Power 224GB",332739,3327,6x3.4,128,,,2560x2160,5657,3
195,39997,/upload/290145.jpeg,"6.6"" Toshiba 256GB",464536,4645,,,,,,,
574,40031,/upload/9893.svg,"5.8"" Motorola 224GB",48700,487,,,3,OLED,1600x1366,,8
2290,40061,/upload/512757.png,"6.6"" LaCie 192GB",104846,1048,8x2.9,90,1,AMOLED,1600x1080,3138,9
854,40154,/upload/643483.jpg,"6.6"" Seagate 48GB",34869,348,4x4.2,65,2,,1280x768,6561,
1939,40158,/upload/68284.png,"6.1"" OPPO 32GB",439185,4391,4x3.5,,4,AMOLED,,2050,
1028,40227,/upload/706058.png,"7.4"" Xiaomi Mi 176GB",315729,3157,,,4,AMOLED,1600x1440,,8
66,40238,/upload/530951.webp,"5.6"" Sony 240GB",443724,4437,6x4.9,101,1,AMOLED,1600x1440,,9
1857,40277,/upload/50662.svg,"5.9"" Kingston 128GB",259539,2595,4x1.5,,3,,,,12
848,40323,/upload/571307.png,"6.4"" Marvell 224GB",39444,394,2x3.7,,,OLED,1280x1200,,6
455,40389,/upload/873000.webp,"7.3"" Qualcomm 192GB",173689,1736,4x1.9,,,,1920x1080,,13
1315,40476,/upload/845816.jpg,"7.3"" iPhone 13 48GB",388277,3882,,25,1,AMOLED,1280x1440,6484,
1716,40599,/upload/662925.webp,"6.4"" Asus 144GB",103404,1034,8x4.8,,,,,7243,
865,40600,/upload/142006.webp,"5.6"" OCZ 192GB",346674,3466,6x4.2,,2,IPS,,4464,5
2034,40604,/upload/982737.webp,"6.0"" Corsair 128GB",99345,993,,42,2,OLED,,6039,
2040,40631,/upload/849001.jpeg,"5.8"" IBM 208GB",77820,778,,,4,AMOLED,1600x1200,2547,
2274,40642,/upload/883192.jpeg,"5.9"" Huawei P 80GB",384059,3840,4x4.7,69,1,,,,2
980,40717,/upload/806914.jpg,"6.6"" Apple 176GB",278436,2784,,37,4,OLED,,6255,
2317,40768,/upload/365213.jpg,"7.5"" Blackberry 64GB",418156,4181,6x1.8,,3,,1920x1200,,6
724,40770,/upload/54887.svg,"6.1"" Gigabyte 128GB",73766,737,,25,1,OLED,1024x768,,12
2198,40774,/upload/185290.jpeg,"7.2"" Micron 64GB",52969,529,2x1.6,,3,OLED,,7054,2
2196,40910,/upload/632924.jpeg,"5.7"" Fujitsu 224GB",375591,3755,4x1.3,60,,IPS,,4793,7
1623,40960,/upload/283901.jpg,"5.7"" Apple 192GB",318014,3180,,62,,OLED,1920x768,3048,
1839,40978,/upload/795671.jpeg,"5.1"" Plextor 144GB",300697,3006,6x2.5,122,1,,2560x1200,3982,4
555,40981,/upload/730440.png,"5.8"" PNY 96GB",63495,634,2x3.8,,4,,1600x1366,,11
136,40990,/upload/777453.svg,"7.2"" Xiaomi Mi 96GB",29587,295,8x4.0,,,OLED,2560x768,4602,14
1638,40996,/upload/644525.jpg,"5.5"" HGST 160GB",108496,1084,,42,,AMOLED,1280x1366,6714,4
1757,40997,/upload/567525.jpg,"6.9"" ARM 160GB",115816,1158,,104,4,,1024x768,4984,8
427,41015,/upload/214309.jpeg,"5.4"" Western Digital 48GB",203758,2037,4x4.8,107,3,OLED,1920x768,2396,14
1723,41250,/upload/227990.png,"5.2"" ASUS 160GB",175223,1752,4x1.5,98,4,,,,11
808,41300,/upload/620386.svg,"5.6"" iPhone 13 224GB",232080,2320,,38,2,,2560x1440,4414,
1137,41303,/upload/711788.png,"6.5"" iPhone 13 80GB",103608,1036,4x2.4,114,1,OLED,,6633,7
1346,41343,/upload/942214.png,"6.5"" Seagate 96GB",176391,1763,,86,,,,,13
543,41360,/upload/327725.jpg,"6.8"" Broadcom 64GB",291667,2916,2x2.7,79,4,IPS,,,13
1448,41385,/upload/400249.webp,"6.8"" Toshiba 16GB",435460,4354,,56,4,IPS,,,
1875,41395,/upload/334111.jpeg,"5.0"" Nokia 80GB",368193,3681,,,,IPS,,,14
719,41407,/upload/52074.jpeg,"6.8"" ZTE 80GB",192874,1928,,,4,OLED,1366x768,4901,
1514,41431,/upload/561937.jpg,"6.1"" iPhone 12 128GB",367235,3672,4x1.3,116,1,OLED,1920x2160,2265,16
1202,41644,/upload/678045.webp,"6.6"" Alcatel 240GB",256844,2568,,87,,IPS,,,5
992,41649,/upload/704226.webp,"6.3"" Acer 256GB",350013,3500,,128,3,IPS,,3352,9
1580,41740,/upload/737466.webp,"5.2"" VIVO 176GB",401298,4012,,36,,OLED,,7298,
2143,41754,/upload/440263.svg,"7.0"" iPhone 13 80GB",72583,725,,69,,IPS,,3058,
2002,41834,/upload/968861.jpeg,"5.5"" Western Digital 16GB",109591,1095,,,,IPS,,2234,3
1657,41895,/upload/993211.jpeg,"5.7"" MSI 176GB",79450,794,,80,4,,1920x1440,7407,
33,42023,/upload/145657.jpeg,"7.3"" Micron 80GB",352761,3527,,84,4,,,,5
667,42073,/upload/139899.png,"5.9"" Lenovo 32GB",164032,1640,,62,2,,2560x1200,4377,4
1106,42080,/upload/229941.webp,"6.0"" Toshiba 144GB",323199,3231,8x5.0,,3,,,5480,2
2271,42195,/upload/595122.jpg,"6.9"" OCZ 176GB",434879,4348,,42,1,,1920x1440,,6
57,42255,/upload/661565.jpeg,"5.0"" Texas Instruments 208GB",108009,1080,,,1,,1600x1080,,8
503,42292,/upload/115750.webp,"6.4"" Qualcomm 32GB",450150,4501,,,,,2560x1080,,7
1825,42321,/upload/615564.webp,"5.5"" Lenovo 192GB",164181,1641,2x4.5,86,3,OLED,1024x768,2692,
1255,42334,/upload/57176.svg,"6.0"" Samsung 16GB",84232,842,6x4.3,76,,OLED,,5859,
616,42370,/upload/830478.webp,"7.0"" Micron 64GB",65598,655,2x1.2,17,,OLED,1600x1200,2203,2
367,42475,/upload/480413.jpg,"6.4"" SanDisk 176GB",380990,3809,,68,,AMOLED,2560x1080,,
688,42510,/upload/120590.png,"7.0"" SanDisk 256GB",386273,3862,4x1.9,,4,AMOLED,1366x1366,,6
235,42555,/upload/856034.svg,"5.0"" Nokia 64GB",484849,4848,8x2.4,93,,IPS,2560x2160,5151,3
1507,42586,/upload/773958.png,"6.8"" Intel 16GB",318101,3181,8x3.3,112,1,AMOLED,,,14
930,42651,/upload/67000.jpeg,"5.1"" MSI 80GB",53574,535,,59,3,OLED,,,16
2085,42674,/upload/304829.jpeg,"6.3"" Nokia 48GB",81279,812,,101,,OLED,,6995,14
1848,42691,/upload/836397.webp,"5.7"" Xiaomi Mi 256GB",397730,3977,,90,,AMOLED,2560x768,7493,12
404,42728,/upload/591945.svg,"5.3"" Blackberry 80GB",250235,2502,8x3.8,109,,AMOLED,,4861,10
456,42746,/upload/475534.jpg,"5.5"" OCZ 80GB",372729,3727,6x1.8,,1,,,4585,5
1024,42784,/upload/880271.png,"7.0"" Samsung S21 208GB",437253,4372,2x3.7,84,1,OLED,1600x2160,2855,7
2200,42863,/upload/240401.jpeg,"6.8"" Google Pixel 256GB",128567,1285,4x2.0,72,4,IPS,,4289,
625,42877,/upload/738729.jpeg,"6.8"" AMD 16GB",124557,1245,4x1.8,92,,OLED,1280x1200,5718,4
1569,42883,/upload/57540.jpg,"6.2"" Acer 256GB",403897,4038,8x1.4,,1,,1024x1080,6401,7
1834,42906,/upload/813302.svg,"7.5"" iPhone 12 80GB",233228,2332,,,4,AMOLED,1600x2160,,
2135,42914,/upload/336952.webp,"5.3"" Intel 96GB",244950,2449,,18,,AMOLED,1600x2160,3826,
1601,42942,/upload/846028.jpg,"5.9"" MSI 224GB",262730,2627,,88,3,IPS,1600x768,4546,
495,42988,/upload/969051.jpg,"7.4"" Hewlett-Packard 112GB",112453,1124,,,1,AMOLED,,,3
464,43080,/upload/25409.webp,"6.5"" Gigabyte 48GB",476668,4766,,,2,OLED,,2364,5
